@W: CD638 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":243:8:243:17|Signal clk_250mhz is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":253:8:253:13|Bit 17 of signal pwma_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":254:8:254:13|Bit 9 of signal pwmb_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":254:8:254:13|Bit 10 of signal pwmb_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":254:8:254:13|Bit 11 of signal pwmb_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":254:8:254:13|Bit 12 of signal pwmb_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":254:8:254:13|Bit 13 of signal pwmb_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":254:8:254:13|Bit 14 of signal pwmb_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":254:8:254:13|Bit 15 of signal pwmb_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":254:8:254:13|Bit 16 of signal pwmb_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD796 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":254:8:254:13|Bit 17 of signal pwmb_c is undriven. Possible simulation mismatch as initial value or default value is ignored. To avoid simulation mismatches, explicitly drive this bit. 
@W: CD638 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":258:8:258:16|Signal pwm_en_on is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":282:8:282:19|Signal st_latch_clr is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":289:8:289:14|Signal soft_ss is undriven. Either assign the signal a value or remove the signal declaration.
@W: CG296 :"C:\CPLD\CPLD_PWM_DB\CC_PROTECTION.vhd":57:1:57:7|Incomplete sensitivity list; assuming completeness. Make sure all referenced variables in message CG290 are included in the sensitivity list.
@W: CG290 :"C:\CPLD\CPLD_PWM_DB\CC_PROTECTION.vhd":61:22:61:28|Referenced variable err_clr is not in sensitivity list.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":258:8:258:16|Signal PWM_EN_On is floating; a simulation mismatch is possible.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":181:2:181:6|Signal IO8_C is floating; a simulation mismatch is possible.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":180:2:180:6|Signal IO7_C is floating; a simulation mismatch is possible.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":179:2:179:6|Signal IO6_C is floating; a simulation mismatch is possible.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":177:2:177:6|Signal IO5_C is floating; a simulation mismatch is possible.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":173:2:173:6|Signal IO1_C is floating; a simulation mismatch is possible.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":83:2:83:8|Signal PWM_ENn is floating; a simulation mismatch is possible.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":43:2:43:7|Signal IO85_D is floating; a simulation mismatch is possible.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":42:2:42:7|Signal IO84_D is floating; a simulation mismatch is possible.
@W: CL240 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":40:2:40:7|Signal IO15_D is floating; a simulation mismatch is possible.
@W: CL169 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":380:2:380:3|Pruning unused register ERR_STATUS_5(19 downto 1). Make sure that there are no unused intermediate registers.
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":48:2:48:7|Inout IO20_D is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":49:2:49:7|Inout IO21_D is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":77:2:77:5|Inout TZ1n is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":78:2:78:5|Inout TZ2n is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":186:2:186:7|Inout IO12_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":187:2:187:7|Inout IO13_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":188:2:188:7|Inout IO14_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":189:2:189:7|Inout IO15_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":190:2:190:7|Inout IO16_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":191:2:191:7|Inout IO17_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":193:2:193:7|Inout IO18_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":194:2:194:7|Inout IO19_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":195:2:195:7|Inout IO20_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":196:2:196:7|Inout IO21_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":197:2:197:7|Inout IO22_C is unused
@W: CL158 :"C:\CPLD\CPLD_PWM_DB\CC_CPLD_TOP.vhd":198:2:198:7|Inout IO23_C is unused

